,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,clouds_all,dt,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,snow_3h,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,visibility,sys_type,sys_id,rain_3h,wind_gust,rain_1h,weather_2_id,weather_2_main,weather_2_description,weather_2_icon,snow_1h
chokurdakh,147.9,70.62,801,Clouds,few clouds,02n,model,240.39,234.79,240.39,240.39,1012,95,1012,1010,2.46,206,23,1578455758,RU,0,0,39600,2126123,Chokurdakh,200,,,,,,,,,,,,,,,,
nanortalik,-45.24,60.14,601,Snow,snow,13n,model,272.09,258.17,272.09,272.09,990,69,990,984,16.01,254,100,1578455759,GL,1578484768,1578507300,-10800,3421765,Nanortalik,200,1.94,,,,,,,,,,,,,,,
hasaki,140.83,35.73,522,Rain,heavy intensity shower rain,09d,stations,278.22,273.12,277.59,279.15,999,100,,,5.7,310,75,1578455759,JP,1578433618,1578469110,32400,2112802,Hasaki,200,,701,Mist,mist,50d,1400,1,7955,,,,,,,,
ushuaia,-68.31,-54.81,301,Drizzle,drizzle,09n,stations,281.15,277.92,281.15,281.15,981,93,,,3.6,90,90,1578455759,AR,1578470979,1578532166,-10800,3833367,Ushuaia,200,,,,,,10000,1,8303,,,,,,,,
tolyatti,49.41,53.52,600,Snow,light snow,13n,stations,266.15,262.02,266.15,266.15,1029,92,,,1.76,107,90,1578455760,RU,1578459378,1578487244,14400,482283,Tolyatti,200,,,,,,7000,1,9051,,,,,,,,
tura,100.22,64.27,800,Clear,clear sky,01d,model,252.61,247.49,252.61,252.61,1021,94,1021,970,2.13,225,0,1578455760,RU,1578452661,1578469566,25200,2014833,Tura,200,,,,,,,,,,,,,,,,
oranjestad,-70.03,12.52,802,Clouds,scattered clouds,03n,stations,300.15,299.79,300.15,300.15,1014,83,,,8.7,90,40,1578455760,AW,1578395000,1578436120,-14400,3577154,Oranjestad,200,,,,,,10000,1,8791,,,,,,,,
boyuibe,-63.28,-20.43,500,Rain,light rain,10n,model,292.98,295.33,292.98,292.98,1010,94,1010,881,1.16,263,100,1578455761,BO,1578389985,1578437894,-14400,3923015,Boyuibe,200,,,,,,,,,0.56,,,,,,,
abha,42.5,18.22,802,Clouds,scattered clouds,03d,stations,286.67,282.42,286.15,287.15,1024,87,,,6.7,190,40,1578455761,SA,1578455006,1578494934,10800,110690,Abha,200,,,,,,10000,1,7396,,,,,,,,
rawson,-65.11,-43.3,800,Clear,clear sky,01n,model,292.07,285.52,292.07,292.07,994,50,994,993,8.79,231,1,1578455761,AR,1578473429,1578528180,-10800,3839307,Rawson,200,,,,,,,,,,,,,,,,
